tweet_data,tweet_text,tweet_favs,tweet_author,tweet_author_verified
2021-02-26T23:55:08,"Parece que a gente voltou pro começo da pandemia mesmo com a chegada da vacina bicho, negócio tá feio de mais",0,SpfcHiuri,False
2021-02-26T23:55:07,"Lockdown funciona sim! E mascara funciona sim! Enquanto não temos vacina pra todos! So temos 3 opções: 1 - Uso de mascara 2- Distanciamento 3 - Lockdown! A realidade é essa! Brasil está na UTI https://t.co/mANSgA1wty",0,nuncaparedeler,False
2021-02-26T23:55:05,"AH LÁ O PAI DO EREN TOMANDO VACINA PRA COVID PRA VIRAR TITÃ #vempraloading",0,lewownardo1,False
2021-02-26T23:55:05,"Não precisei tomar NENHUMA vacina 💉 #CHUPAAAAJORDANE",0,ErikaCristin,False
2021-02-26T23:55:04,"O 🇧🇷 tem presidente?  Até agora não vi o Brasil com presidente, vejo sem comando.VACINA JÁ Boldoasno não",0,SilvioRSantos3,False
2021-02-26T23:55:03,"Esse governo é uma MERDA msm, lockdown dnv, sem vacina, sem auxílio, povo perdendo emprego, povo precisando trabalhar, sem UTI, povo morrendo, inflação la em cima... é o fim dos tempos",0,Montenegro_J29,False
2021-02-26T23:55:03,"A felicidade em se vacinar equivale a tristeza por não ter vacina disponível a todos.",0,leandromont12,False
2021-02-26T23:55:02,"mas o fdp tomou a vacina...",0,amandinhamillan,False
2021-02-26T23:55:02,"#JN #jornalnacional Doria prometendo vacina até dezembro, mas com a média móvel de mais de 200 mortes por dia e aumentando será que sobreviveremos até lá?",0,rafael_pires013,False
2021-02-26T23:54:58,"lockdown virou motivo de chacota, mas vindo dele, nada mais me surpreende.NÃO EXISTEM MAIS LEITOS DISPONÍVEIS, NÃO TEM VACINA O SUFICIENTE!o povo está morrendo e ngm mais se importa... https://t.co/pjUoLdwYY6",0,Kauanysilvaaaaa,False